net,length_um
_095_,5.265
_204_,5.22
_314_,5.22
_358_,5.22
net30,5.22
net142,5.16
u_bank_manager.active_row_reg\[1\]\[0\],5.14
load_mode_cmd,5.07
read_data[11],5.07
_008_,5.045
_048_,5.045
_106_,5.045
_325_,5.04
net46,5
net55,5
address[20],4.95
address[22],4.95
read_data[0],4.95
read_data[10],4.95
net92,4.95
read_data[23],4.95
net82,4.92
net113,4.92
net136,4.92
net139,4.92
_250_,4.88
_336_,4.88
_032_,4.845
_094_,4.805
_257_,4.8
_011_,4.785
_018_,4.785
_354_,4.76
net63,4.76
_045_,4.7
_108_,4.7
address[21],4.61
address[7],4.61
net53,4.58
_189_,4.54
net60,4.54
_172_,4.48
_234_,4.46
_109_,4.455
_097_,4.44
_245_,4.42
net126,4.42
read_data[18],4.39
read_data[25],4.39
ready,4.39
req_ack,4.39
row_cmd[8],4.39
_019_,4.385
_117_,4.34
_242_,4.34
_252_,4.34
_266_,4.34
_269_,4.34
_346_,4.34
u_command_generator.request_column_reg\[1\],4.34
net101,4.34
_035_,4.295
_096_,4.285
_357_,4.28
column_cmd[0],4.27
net94,4.27
read_data[21],4.27
row_cmd[10],4.27
_027_,4.265
_104_,4.265
_099_,4.165
net51,4.08
_360_,4.02
_135_,4
net66,4
net104,4
net121,4
_028_,3.965
column_cmd[3],3.93
row_cmd[2],3.93
row_cmd[7],3.93
net89,3.93
_077_,3.925
_297_,3.9
_202_,3.88
_207_,3.88
_338_,3.88
net64,3.88
_079_,3.805
_046_,3.78
_041_,3.635
_324_,3.565
_328_,3.56
_177_,3.54
_251_,3.54
_292_,3.54
net107,3.54
_049_,3.465
_112_,3.465
_115_,3.42
_320_,3.42
_345_,3.42
net44,3.42
net52,3.42
_176_,3.38
_031_,3.345
_145_,3.32
_026_,3.245
_089_,3.245
net31,3.2
_024_,3.175
_107_,3.175
_111_,3.165
_318_,3.08
net118,3.08
_155_,3.06
_013_,3.045
_009_,3.005
_233_,2.98
_263_,2.98
_127_,2.96
_264_,2.96
_010_,2.88
_065_,2.785
_333_,2.76
net124,2.76
net42,2.74
net43,2.74
net59,2.74
_062_,2.715
_173_,2.64
_226_,2.62
_247_,2.62
_272_,2.62
_319_,2.62
net99,2.62
net143,2.62
_040_,2.595
_110_,2.595
_005_,2.585
_057_,2.585
_015_,2.545
_030_,2.545
_047_,2.545
_100_,2.545
_006_,2.52
_267_,2.52
_133_,2.5
_138_,2.5
_185_,2.5
_036_,2.485
_023_,2.42
_105_,2.42
_103_,2.355
_020_,2.325
_033_,2.325
_034_,2.325
_060_,2.325
_141_,2.3
_200_,2.28
_218_,2.18
_223_,2.18
net49,2.18
net54,2.18
_039_,2.16
_222_,2.16
_276_,2.16
_309_,2.16
net100,2.16
net117,2.16
net128,2.16
_050_,2.085
_080_,2.085
_074_,2.08
_037_,2.06
_229_,2.06
_235_,2.06
_237_,2.06
_331_,2.06
_198_,2.04
_203_,2.04
_238_,2.04
_003_,2.035
_021_,2.025
_022_,2.025
_025_,2.025
_056_,2.025
_054_,1.865
_084_,1.865
_098_,1.865
_152_,1.82
net35,1.82
_213_,1.8
_136_,1.48
_102_,1.405
_195_,1.38
_258_,1.38
_268_,1.38
_270_,1.38
_340_,1.38
_350_,1.38
net106,1.38
_303_,1.26
_178_,1.14
_332_,1.14
_121_,0.92
_192_,0.92
_274_,0.92
net105,0.92
net114,0.92
net120,0.92
net140,0.92
_254_,0.46
_296_,0.46
net112,0.46
net115,0.46
net127,0.46
net133,0.46
net135,0.46
